brand;item;key;ukuran-porsi;kalori;lemak;karbohidrat;protein
bk;beefburger;bk-beefburger;1-porsi(329g);770kkal;46g;53g;36g
bk;cheeseburger;bk-cheeseburger;1-burger(111gr);280kkal;13g;27g;15g
bk;cheesytots;bk-cheesytots;8-pcs(128g);310kkal;15g;34g;9g
bk;chickenburger;bk-chickenburger;1-porsi(257gr);480kkal;25g;42g;22g
bk;cola;bk-cola;1-porsi;100kkal;0g;27g;0g
bk;fanta;bk-fanta;1-porsi;80kkal;0g;20g;0g
bk;frenchfries;bk-frenchfries;1-porsi(153gr);380kkal;17g;53g;5g
bk;friedchicken;bk-friedchicken;1-porsi(131g);351kkal;12.8g;46.2g;12.8g
bk;nuggets;bk-nuggets;4-pcs(68g);164.6kkal;8.2g;14.3g;8.2g
bk;onionring;bk-onionring;1-porsi(90g);234.4kkal;11.3g;31.1g;4g
bk;pepsi;bk-pepsi;1-porsi;100kkal;0g;28g;0g
bk;rice;bk-rice;100g;130kkal;0.28g;28.17g;2.68g
bk;sundae;bk-sundae;1-porsi(150gr);225kkal;6.9g;37g;3.8g
bk;veggieburger;bk-veggieburger;1-porsi(138g);430.6kkal;21g;52g;8.4g
bk;whopper;bk-whopper;1-porsi(286.2g);678.8kkal;38.4g;51.1g;30.4g
bk;wingsspringkle;bk-wingsspringkle;3-pcs;296.2kkal;10.6g;29g;21.2g
kfc;chickenball;kfc-chickenball;1-porsi(126g);383kkal;21g;22g;26g
kfc;chickenbucket;kfc-chickenbucket;9-pcs;2300kkal;136g;91g;176g
kfc;chickenstrips;kfc-chickenstrips;1-porsi(36.38g);123kkal;8.13g;5.73g;6.82g
kfc;cola;kfc-cola;1-porsi;100kkal;0g;27g;0g
kfc;creamsoup;kfc-creamsoup;1-porsi(180g);110kkal;5g;14g;3g
kfc;crispyburger;kfc-crispyburger;1-porsi(146g);410kkal;20g;39;18g
kfc;fanta;kfc-fanta;1-porsi;80kkal;0g;20g;0g
kfc;frenchfries;kfc-frenchfries;1-porsi(64g);257kkal;12.48g;33.22g;2.91g
kfc;friedchicken;kfc-friedchicken;1-porsi(1-pcs);313kkal;23g;9g;22g
kfc;mochafloat;kfc-mochafloat;1-porsi;150kkal;3g;30g;2g
kfc;nuggets;kfc-nuggets;6-pcs(108g);260kkal;14g;13g;20g
kfc;pepsi;kfc-pepsi;1-porsi;100kkal;0g;28g;0g
kfc;popcornchicken;kfc-popcornchicken;1-porsi(126g);383kkal;21g;22g;26g
kfc;rice;kfc-rice;1-porsi(213g);268kkal;0.30g;59.57g;6.8g
kfc;soup;kfc-soup;1-porsi;75kkal;2.46g;9.35g;4.05g
kfc;zingerburger;kfc-zingerburger;196.5g;573kkal;31g;49g;24g
mcd;beefburger;mcd-beefburger;1-porsi(102g);258kkal;7.8g;32.1g;13.8g
mcd;bigmac;mcd-bigmac;1-porsi(215g);550kkal;29g;46g;25g
mcd;cheeseburger;mcd-cheeseburger;1-porsi(114g);300kkal;12g;33g;15g
mcd;chickenburger;mcd-chickenburger;1-porsi;360kkal;16g;30g;14g
mcd;cola;mcd-cola;1-porsi;100kkal;0g;27g;0g
mcd;fanta;mcd-fanta;1-porsi;80kkal;0g;20g;0g
mcd;frenchfries;mcd-frenchfries;1-porsi(100g);373kkal;17.6g;48.7g;4.1g
mcd;friedchicken;mcd-friedchicken;100g;223kkal;11.9g;9.1g;18.9g
mcd;hashbrown;mcd-hashbrown;55g;135kkal;8g;15g;2g
mcd;mcflurry;mcd-mcflurry;285g;245kkal;5g;45g;5g
mcd;nuggets;mcd-nuggets;6-pcs;260kkal;15g;14g;17g
mcd;rice;mcd-rice;1-porsi(179g);212kkal;0g;48g;5g
mcd;sausagemcmuffin;mcd-sausagemcmuffin;1-porsi(114g);400kkal;25g;29g;14g
mcd;sundae;mcd-sundae;1-porsi;325kkal;10.5g;53g;5g
